사용본거지법정동명	동별 총 대수	휘발유	경유	엘피지	전기	휘발유_유연	휘발유_무연	CNG	하이브리드_휘발유_전기	하이브리드_경유_전기	하이브리드_LPG+전기	하이브리드_CNG+전기	수소	기타연료
서울특별시 마포구 상암동	11,451 	2,509 	4,005 	1,174 	35 	4 	3,122 	246 	323 		5 		1 	27 
서울특별시 양천구 신정동	57,465 	12,968 	19,953 	4,568 	89 	12 	17,975 	373 	1,381 	1 	50 		2 	93 
서울특별시 양천구 목동	49,272 	13,309 	15,994 	2,849 	74 	14 	15,520 	20 	1,395 	1 	18 			78 
서울특별시 양천구 신월동	43,592 	7,052 	17,245 	7,261 	58 	11 	11,040 	290 	536 		25 		1 	73 
서울특별시 강서구 염창동	15,146 	3,468 	5,253 	1,290 	11 	8 	4,668 	5 	417 		5 		1 	20 
서울특별시 강서구 등촌동	25,837 	5,523 	9,013 	2,617 	27 	15 	7,972 	10 	605 		15 		1 	39 
서울특별시 강서구 화곡동	67,157 	13,727 	24,790 	6,610 	70 	29 	20,469 	24 	1,291 		49 			98 
서울특별시 강서구 가양동	22,837 	4,259 	8,598 	2,410 	41 	10 	6,392 	21 	1,081 		10 		1 	14 
서울특별시 강서구 마곡동	20,390 	3,735 	6,872 	1,508 	86 	6 	5,387 	11 	2,734 		11 			40 
서울특별시 강서구 내발산동	15,142 	3,098 	5,344 	1,703 	15 	4 	4,627 	3 	318 	1 	8 		1 	20 
서울특별시 강서구 외발산동	1,378 	144 	638 	264 	2 		225 	89 	14 					2 
서울특별시 강서구 공항동	7,343 	1,203 	3,082 	971 	7 	3 	1,960 	3 	101 		4 			9 
서울특별시 강서구 방화동	26,492 	4,638 	8,948 	5,125 	21 	5 	7,077 	125 	501 		15 			37 
서울특별시 강서구 개화동	1,446 	184 	779 	92 	4 	1 	208 	160 	15 		1 			2 
서울특별시 강서구 과해동	126 	7 	100 		1 		11 	3 	3 					1 
서울특별시 강서구 오곡동	45 	2 	37 	2 			3 							1 
서울특별시 강서구 오쇠동	98 	8 	65 	2 	2 		19 							2 
서울특별시 구로구 신도림동	12,740 	3,097 	4,358 	686 	13 	7 	4,153 	19 	380 		7 		2 	18 
